hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
91,2021-01-04T19:00:00Z,44200.7916667,0.707419755951,0.707419755951,false,raw,0.730043078746,0,10.7,3,8.54150402133
92,2021-01-04T20:00:00Z,44200.8333333,0.719090556413,0.719090556413,false,raw,0.728990444399,0,10.7,3,8.52918819947
93,2021-01-04T21:00:00Z,44200.875,0.683422901615,0.683422901615,false,raw,0.726978250907,0,10.7,3,8.50564553561
94,2021-01-04T22:00:00Z,44200.9166667,0.660640157762,0.660640157762,false,raw,0.722755582581,0,10.7,3,8.45624031619
95,2021-01-04T23:00:00Z,44200.9583333,0.770175664619,0.770175664619,false,raw,0.724565297577,0.0456103670415,10.7,3,8.65985544982
96,2021-01-05T00:00:00Z,44201,0.842574661056,0.842574661056,false,raw,0.726375012574,0.116199648482,10.7,3,8.96338624105
97,2021-01-05T01:00:00Z,44201.0416667,1.01055124974,1.01055124974,false,raw,0.727816315099,0.282734934641,10.7,3,9.64639062522
98,2021-01-05T02:00:00Z,44201.0833333,0.935291684813,0.935291684813,false,raw,0.728520792679,0.206770892134,10.7,3,9.35077684288
99,2021-01-05T03:00:00Z,44201.125,0.961108079296,0.961108079296,false,raw,0.729225270259,0.231882809037,10.7,3,9.45946689818
100,2021-01-05T04:00:00Z,44201.1666667,1.03331146832,1.03331146832,false,raw,0.729929747839,0.303381720481,10.7,3,9.75370493164
101,2021-01-05T05:00:00Z,44201.2083333,1.12290838085,1.12290838085,false,raw,0.730043078746,0.392865302104,10.7,3,10.1129652297
102,2021-01-05T06:00:00Z,44201.25,0.940084489811,0.940084489811,false,raw,0.730156409654,0.209928080157,10.7,3,9.38254231358
103,2021-01-05T07:00:00Z,44201.2916667,0.87644391116,0.87644391116,false,raw,0.730269740561,0.146174170599,10.7,3,9.12885264696
104,2021-01-05T08:00:00Z,44201.3333333,0.834681307064,0.834681307064,false,raw,0.730331400056,0.104349907008,10.7,3,8.96227700869
105,2021-01-05T09:00:00Z,44201.375,0.717085677341,0.717085677341,false,raw,0.730118632684,0,10.7,3,8.54238800241
106,2021-01-05T10:00:00Z,44201.4166667,0.71600441837,0.71600441837,false,raw,0.729460096119,0,10.7,3,8.53468312459
107,2021-01-05T11:00:00Z,44201.4583333,0.614207633965,0.614207633965,false,raw,0.727816315099,0,10.7,3,8.51545088666
108,2021-01-05T12:00:00Z,44201.5,0.533912990531,0.533912990531,false,raw,0.723962059245,0,10.7,3,8.47035609317
109,2021-01-05T13:00:00Z,44201.5416667,0.470977981286,0.470977981286,false,raw,0.720811541065,0,10.7,3,8.43349503046
110,2021-01-05T14:00:00Z,44201.5833333,0.480992098063,0.480992098063,false,raw,0.719090556413,0,10.7,3,8.41335951003
111,2021-01-05T15:00:00Z,44201.625,0.432704886687,0.432704886687,false,raw,0.717687141063,0,10.7,3,8.39693955043
112,2021-01-05T16:00:00Z,44201.6666667,0.456974994477,0.456974994477,false,raw,0.716653173753,0,10.7,3,8.38484213291
113,2021-01-05T17:00:00Z,44201.7083333,0.441894780572,0.441894780572,false,raw,0.715145952128,0,10.7,3,8.3672076399
114,2021-01-05T18:00:00Z,44201.75,0.540645304961,0.540645304961,false,raw,0.709136688435,0,10.7,3,8.29689925469
115,2021-01-05T19:00:00Z,44201.7916667,0.597069589222,0.597069589222,false,raw,0.70692821852,0,10.7,3,8.27106015668
116,2021-01-05T20:00:00Z,44201.8333333,0.624808567856,0.624808567856,false,raw,0.706266583917,0,10.7,3,8.26331903183
117,2021-01-05T21:00:00Z,44201.875,0.668570280406,0.668570280406,false,raw,0.705671243817,0,10.7,3,8.25635355266
118,2021-01-05T22:00:00Z,44201.9166667,0.748938538397,0.748938538397,false,raw,0.705926389574,0.0430121488228,10.7,3,8.43138735331
119,2021-01-05T23:00:00Z,44201.9583333,0.831425374605,0.831425374605,false,raw,0.706181535332,0.125243839273,10.7,3,8.76329932047
120,2021-01-06T00:00:00Z,44202,0.802024630423,0.802024630423,false,raw,0.706436681089,0.095587949334,10.7,3,8.64766096608
121,2021-01-06T01:00:00Z,44202.0416667,0.921508928481,0.921508928481,false,raw,0.706731603548,0.214777324933,10.7,3,9.12786906124
122,2021-01-06T02:00:00Z,44202.0833333,1.07629592005,1.07629592005,false,raw,0.707026526006,0.369269394044,10.7,3,9.74928793045
123,2021-01-06T03:00:00Z,44202.125,1.15815371881,1.15815371881,false,raw,0.707321448465,0.450832270345,10.7,3,10.0789900284
124,2021-01-06T04:00:00Z,44202.1666667,1.10638670165,1.10638670165,false,raw,0.709136688435,0.397250013215,10.7,3,9.88589930755
125,2021-01-06T05:00:00Z,44202.2083333,1.378531314,1.378531314,false,raw,0.711712087161,0.666819226839,10.7,3,10.9943083271
126,2021-01-06T06:00:00Z,44202.25,1.02731947171,1.02731947171,false,raw,0.714287485886,0.313031985824,10.7,3,9.60929152816
